"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-12","13.42",,"0.03","0.0","0.0","38","45","30","   60","   60","23.9","30.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-13","20.13",,"0.21","1.2","1.2","36","42","33","  310","  310","31.1","38.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-14","22.59",,"0.00","0.0","0.0","35","42","31","  270","  270","32.0","38.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-15","19.69",,"0.00","0.0","0.0","38","48","32","  260","  290","28.0","35.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-16","20.58",,"0.00","0.0","0.0","37","41","31","  310","  320","33.1","40.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-17","16.55",,"0.00","0.0","0.0","36","50","27","  270","  270","28.0","34.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-18","13.20",,"0.00","0.0","0.0","36","44","28","  330","  330","28.0","33.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-19","6.93",,"0.00","0.0","0.0","38","47","29","  320","   10","16.1","21.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-20","11.86",,"0.03","0.0","0.0","34","37","30","   50","   50","21.9","27.1",,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-21","19.01",,"0.88","8.4","0.0","35","38","31","   40","   40","32.0","40.0","    1",,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-22","17.67",,"0.03","0.3","9.1","37","48","31","  340","  330","25.1","33.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-23","12.08",,"0.00","0.0","5.1","41","49","33","  340","  340","23.0","32.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-24","12.97",,"0.00","0.0","2.0","42","51","35","  330","  330","19.9","25.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-25","13.20",,"0.00","0.0","0.0","40","45","32","   50","   60","23.0","29.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-26","8.95",,"0.00","0.0","0.0","38","47","29","   50","   60","21.0","25.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-27","6.26",,"0.00","0.0","0.0","36","42","30","   70","   70","13.0","17.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-28","7.38",,"0.03","0.0","0.0","41","49","37","  210","  210","16.1","18.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-29","5.59",,"0.03","0.0","0.0","46","49","44","  100","  100","15.0","18.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-30","13.87",,"0.09","0.0","0.0","49","62","43","  320","  330","23.9","31.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-31","15.88",,"0.00","0.0","0.0","45","52","37","  190","  190","25.1","32.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-01","12.75",,"0.00","0.0","0.0","48","63","41","  190","  190","23.9","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-02","9.40",,"0.33","3.7","2.0","39","42","32","   20","  360","18.1","21.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-03","8.05",,"0.14","0.0","0.0","39","42","34","  110","  130","17.0","19.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-04","17.45",,"0.17","0.0","0.0","46","57","40","  270","  270","38.0","52.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-05","18.34",,"0.00","0.0","0.0","41","46","33","  270","  300","29.1","38.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-06","12.08",,"0.08","0.0","0.0","41","53","32","  190","  190","30.0","35.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-07","12.97",,"0.00","0.0","0.0","44","48","37","  320","  310","25.1","30.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-08","17.67",,"0.00","0.0","0.0","38","46","32","  300","  290","29.1","38.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-09","12.53",,"0.00","0.0","0.0","37","45","30","  180","  190","21.9","25.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-10","10.51",,"0.01","0.0","0.0","42","51","37","  330","  300","19.9","28.0","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-11","10.29",,"0.00","0.0","0.0","42","49","31","  180","  180","21.0","23.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-12","13.87",,"0.00","0.0","0.0","46","54","40","  190","  190","31.1","38.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-13","12.75",,"0.00","0.0","0.0","56","70","48","  190","  170","21.0","25.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-14","12.30",,"0.00","0.0","0.0","55","67","45","   80","   90","32.0","40.9","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-15","20.36",,"0.25","0.0","0.0","43","45","38","   70","   60","28.0","36.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-16","24.16",,"1.53","0.0","0.0","47","57","40","  120","  120","40.9","50.1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-17","17.90",,"0.00","0.0","0.0","45","48","39","  270","  290","25.9","33.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-18","14.99",,"0.00","0.0","0.0","44","53","37","  230","  260","23.0","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-19","14.09",,"0.15","0.0","0.0","45","48","38","  310","  300","29.1","36.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-20","18.79",,"0.00","0.0","0.0","43","52","36","  320","  310","28.0","34.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-21","11.63",,"0.00","0.0","0.0","47","61","38","  190","  200","23.0","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-22","10.51",,"0.00","0.0","0.0","51","61","41","  190","  190","23.0","27.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-23","8.28",,"0.00","0.0","0.0","50","61","39","  130","  130","18.1","21.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-24","12.30",,"0.00","0.0","0.0","51","62","41","  140","  140","23.0","28.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-25","11.63",,"0.34","0.0","0.0","54","57","51","  100","  100","25.1","34.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-26","12.53",,"0.04","0.0","0.0","58","68","51","  310","  320","23.0","29.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-27","8.50",,"0.12","0.0","0.0","54","56","48","   90","  100","21.9","28.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-28","9.62",,"0.01","0.0","0.0","52","60","45","  300","  300","19.9","23.0","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-29","14.76",,"0.13","0.0","0.0","54","59","47","  320","  320","25.9","32.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-30","16.11",,"0.00","0.0","0.0","49","53","46","  330","  320","32.0","40.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-01","10.51",,"0.00","0.0","0.0","58","76","47","  320","  320","21.9","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-02","11.41",,"0.00","0.0","0.0","67","83","53","  230","  250","21.0","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-03","11.41",,"0.00","0.0","0.0","70","84","59","  320","  320","21.9","27.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-04","12.53",,"0.00","0.0","0.0","68","78","58","  190","  280","28.0","35.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-05","14.32",,"0.00","0.0","0.0","66","76","56","  330","  330","25.9","34.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-06","7.38",,"0.00","0.0","0.0","60","66","56","   30","   50","18.1","21.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-07","8.50",,"0.00","0.0","0.0","61","73","52","  140","  140","16.1","19.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-08","6.71",,"0.00","0.0","0.0","58","67","50","  140",,"15.0",,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-09","6.49",,"0.00","0.0","0.0","56","63","49","  150",,"14.1",,"    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-10","8.28",,"0.01","0.0","0.0","56","62","53","  180","  170","23.0","29.1","    1","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-11","11.41",,"0.00","0.0","0.0","65","74","58","  330","  330","18.1","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-12","8.05",,"0.25","0.0","0.0","60","65","52","  120","  130","16.1","18.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-13","8.05",,"0.16","0.0","0.0","53","54","51","  100","  100","17.0","21.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-14","7.16",,"0.12","0.0","0.0","55","64","51","  170","  170","15.0","18.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-15","10.96",,"0.44","0.0","0.0","63","76","56","  290","  290","44.1","55.0","    1","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-16","10.07",,"0.33","0.0","0.0","62","65","56","   90","  100","21.9","29.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-17","5.37",,"0.72","0.0","0.0","59","67","55","   30","   30","14.1","16.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-18","12.08",,"0.00","0.0","0.0","61","64","55","   60","   60","23.9","33.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-19","8.95",,"0.75","0.0","0.0","54","57","50","   80","   90","21.0","25.9","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-20","12.97",,"0.00","0.0","0.0","67","83","57","  340","  320","23.0","32.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-21","9.62",,"0.00","0.0","0.0","67","73","57","  360","  360","19.9","23.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-22","5.59",,"0.17","0.0","0.0","60","65","56","  170","  170","14.1","16.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-23","8.72",,"0.20","0.0","0.0","66","82","57","  340","  310","18.1","23.9","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-24","11.41",,"0.00","0.0","0.0","74","82","61","  190","  190","23.0","29.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-25","12.75",,"0.00","0.0","0.0","69","82","60","  230","  240","21.0","25.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-26","8.50",,"0.00","0.0","0.0","73","81","67","  190","  190","19.9","23.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-27","13.42",,"0.89","0.0","0.0","65","71","55","   50","   60","25.9","32.0","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-28","7.61",,"0.00","0.0","0.0","57","63","54","  170","  180","15.0","19.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-29","8.05",,"0.00","0.0","0.0","66","79","60","  190","  190","15.0","17.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-30","8.05",,"0.00","0.0","0.0","64","69","57","  130","  120","17.0","21.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-05-31","6.71",,"0.03","0.0","0.0","63","67","60","  140","  110","14.1","17.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-01","4.70",,"1.18","0.0","0.0","67","75","63","  160","  160","10.1","13.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-02","10.07",,"0.00","0.0","0.0","75","86","64","   90","   80","23.0","29.1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-03","15.88",,"0.11","0.0","0.0","63","64","51","  100","  100","25.1","32.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-04","8.50",,"0.61","0.0","0.0","57","71","51","   10","   20","17.0","23.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-05","9.84",,"0.00","0.0","0.0","64","76","53","  270","  260","21.0","28.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-06","8.72",,"0.00","0.0","0.0","63","71","56","   30","   30","16.1","19.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-07","8.95",,"0.00","0.0","0.0","60","66","58","  150","  150","17.0","19.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-08","9.40",,"0.00","0.0","0.0","65","74","58","  190","  180","18.1","21.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-09","6.49",,"0.00","0.0","0.0","71","79","65","  140","   10","13.0","18.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-10","6.04",,"0.02","0.0","0.0","68","72","57","   60","   30","14.1","17.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-11","8.05",,"0.02","0.0","0.0","62","69","56","  110","  130","18.1","21.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-06-12","10.51",,"0.00","0.0","0.0","61","69","52","  180","  180","23.0","28.0",,,,,,,,
